id,behavior,terrainType,encounterType
3,MB_TALL_GRASS,TILE_TERRAIN_GRASS,TILE_ENCOUNTER_LAND
11,MB_SIGNPOST,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
12,MB_SIGNPOST,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
20,MB_TALL_GRASS,TILE_TERRAIN_GRASS,TILE_ENCOUNTER_LAND
39,MB_TALL_GRASS,TILE_TERRAIN_GRASS,TILE_ENCOUNTER_LAND
47,MB_TALL_GRASS,TILE_TERRAIN_GRASS,TILE_ENCOUNTER_LAND
55,MB_TALL_GRASS,TILE_TERRAIN_GRASS,TILE_ENCOUNTER_LAND
61,MB_SIGNPOST,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
62,MB_SIGNPOST,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
69,MB_JUMP_SOUTH,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
70,MB_JUMP_SOUTH,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
71,MB_JUMP_SOUTH,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
72,MB_PUDDLE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
73,MB_PUDDLE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
74,MB_PUDDLE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
80,MB_PUDDLE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
81,MB_PUDDLE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
82,MB_PUDDLE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
88,MB_PUDDLE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
89,MB_PUDDLE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
90,MB_PUDDLE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
92,MB_CAVE_DOOR,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
125,MB_JUMP_SOUTH,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
126,MB_JUMP_SOUTH,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
127,MB_JUMP_SOUTH,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
133,MB_JUMP_SOUTH,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
134,MB_JUMP_SOUTH,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
135,MB_JUMP_SOUTH,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
141,MB_JUMP_SOUTH,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
142,MB_JUMP_SOUTH,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
143,MB_JUMP_SOUTH,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
154,MB_WARP_DOOR,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
158,MB_JUMP_SOUTH,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
159,MB_JUMP_SOUTH,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
160,MB_POND_WATER,TILE_TERRAIN_WATER,TILE_ENCOUNTER_WATER
161,MB_POND_WATER,TILE_TERRAIN_WATER,TILE_ENCOUNTER_WATER
162,MB_POND_WATER,TILE_TERRAIN_WATER,TILE_ENCOUNTER_WATER
163,MB_POND_WATER,TILE_TERRAIN_WATER,TILE_ENCOUNTER_WATER
168,MB_POND_WATER,TILE_TERRAIN_WATER,TILE_ENCOUNTER_WATER
169,MB_POND_WATER,TILE_TERRAIN_WATER,TILE_ENCOUNTER_WATER
170,MB_POND_WATER,TILE_TERRAIN_WATER,TILE_ENCOUNTER_WATER
171,MB_POND_WATER,TILE_TERRAIN_WATER,TILE_ENCOUNTER_WATER
176,MB_POND_WATER,TILE_TERRAIN_WATER,TILE_ENCOUNTER_WATER
177,MB_POND_WATER,TILE_TERRAIN_WATER,TILE_ENCOUNTER_WATER
178,MB_POND_WATER,TILE_TERRAIN_WATER,TILE_ENCOUNTER_WATER
179,MB_POND_WATER,TILE_TERRAIN_WATER,TILE_ENCOUNTER_WATER
184,MB_POND_WATER,TILE_TERRAIN_WATER,TILE_ENCOUNTER_WATER
185,MB_POND_WATER,TILE_TERRAIN_WATER,TILE_ENCOUNTER_WATER
186,MB_POND_WATER,TILE_TERRAIN_WATER,TILE_ENCOUNTER_WATER
187,MB_POND_WATER,TILE_TERRAIN_WATER,TILE_ENCOUNTER_WATER
192,MB_POND_WATER,TILE_TERRAIN_WATER,TILE_ENCOUNTER_WATER
265,MB_CAVE_DOOR,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
